Country,PIN,Community,State,State_ID,District,District_ID,City,Lat,Lng,Loc_accuracy,District_1
IN,457882,Amankunwa,Madhya Pradesh,35,Alirajpur,465,Jhabua,22.234,74.5639,3,Alirajpur
IN,392150,Amanpur,Gujarat,9,Bharuch,488,Jambusar,23.1192,73.0886,3,Bharuch
IN,207241,Amanpur,Uttar Pradesh,36,Etah,201,Kasganj,27.5121,78.7132,4,Etah
IN,284205,Amanpura-war,Uttar Pradesh,36,Jhansi,166,Mauranipur,25.3362,79.0203,3,Jhujhunu
IN,250502,Amanullapur,Uttar Pradesh,36,Meerut,138,Meerut,29.0139,77.5341,4,Meerut
IN,277501,Amaon,Uttar Pradesh,36,Ballia,193,Ballia,25.8754,84.1055,4,Ballia
IN,232118,Amaon,Uttar Pradesh,36,Chandauli,196,Chakia,25.1154,83.292,4,Chandauli
IN,212655,Amaon,Uttar Pradesh,36,Fatehpur,172,Fatehpur,25.7296,81.2211,4,Fatehpur
IN,821106,Amaon,Bihar,34,Kaimur (Bhabua),233,Mohania,25.1572,83.6521,3,Kaimur (Bhabua)
IN,821104,Amaon Baraon,Bihar,34,Rohtas,234,Chenari,25.0154,84.4619,3,Rohtas
IN,206121,Amaota,Uttar Pradesh,36,Auraiya,162,Auraiya,26.2657,79.1594,3,Auraiya
IN,532429,Amapalam,Andhra Pradesh,2,Srikakulam,542,Polaki Mandal,18.4767,83.7033,3,Srikakulam
IN,464886,Amapani,Madhya Pradesh,35,Raisen,446,Silwani,23.4168,78.5767,4,Raisen
IN,230301,Amapur Berra,Uttar Pradesh,36,Pratapgarh,173,Raniganj,26.0309,82.219,3,Pratapgarh
IN,360570,Amar,Gujarat,9,Porbandar,478,Kutiyana,21.6084,69.7871,3,Porbandar
IN,713141,Amar,West Bengal,28,Purba Bardhaman,335,Burdwan Sadar,23.7218,87.8313,3,Purba Bardhaman
IN,841414,Amar Chapra,Bihar,34,Saran,219,Chapra,25.8269,84.8664,3,Saran
IN,110024,Amar Colony,Delhi,7,South Delhi,98,New Delhi,28.5724,77.2365,3,South Delhi
IN,313602,Amar Pura,Rajasthan,24,Udaipur,130,Bhinder,24.9909,74.5442,3,Udaipur
IN,313604,Amar Pura,Rajasthan,24,Udaipur,130,Bhinder,25.353,74.9059,3,Udaipur
IN,210126,Amara,Uttar Pradesh,36,Banda,170,Banda,25.7666,80.3455,4,Banda
IN,232105,Amara,Uttar Pradesh,36,Chandauli,196,Sakaldhia,25.4313,83.3075,4,Chandauli
IN,232110,Amara,Uttar Pradesh,36,Chandauli,196,Chandauli,25.4313,83.3075,4,Chandauli
IN,222170,Amara,Uttar Pradesh,36,Jaunpur,194,Kerakat,25.6293,82.3975,4,Jehanabad
IN,370605,Amara,Gujarat,9,Kachchh,468,Nakhatrana,23.1943,69.0819,1,Kachchh
IN,686546,Amara,Kerala,13,Kottayam,597,Changanassery,9.5,76.6944,1,Kottayam
IN,673579,Amara Kuni,Kerala,13,Wayanad,590,Sulthanbathery,11.7953,76.1532,3,Wayanad
IN,614618,Amaradakki,Tamil Nadu,25,Pudukkottai,621,Avadaiyarkoil,10.4315,79.2314,1,Pudukkottai
IN,583135,Amaradevaragudda,Karnataka,19,Ballari,565,Kudligi,14.9078,76.4184,4,Ballari
IN,573103,Amaragiri Tirupathi,Karnataka,19,Hassan,574,Arskiere,13.3036,76.3493,3,Hassan
IN,711401,Amaragori,West Bengal,28,Howrah,341,Howrah,22.5211,88.1398,3,Hyderabad
IN,636503,Amaragundhi,Tamil Nadu,25,Salem,608,Omalur,12.069,78.1032,3,Salem
IN,843119,Amarakh,Bihar,34,Muzaffarpur,216,Kurhani,25.6685,85.3993,3,Muzaffarpur
IN,636451,Amaram,Tamil Nadu,25,Salem,608,Mettur,11.8392,77.9595,4,Salem
IN,679332,Amarambalam,Kerala,13,Malappuram,592,Nilambur,11.2249,76.2716,4,Malappuram
IN,679339,Amarambalam South,Kerala,13,Malappuram,592,Nilambur,11.1733,76.2398,3,Malappuram
IN,788030,Amaranagar T E,Assam,3,Cachar,316,NA,24.8313,92.804,1,Cachar
IN,814102,Amarapahari,Jharkhand,38,Dumka,362,NA,24.2851,85.807,3,Dumka
IN,624613,Amarapundi,Tamil Nadu,25,Dindigul,612,Dindigul,10.5031,77.7061,3,Dindigul
IN,414505,Amarapur,Maharashtra,16,Ahmadnagar,522,Pathardi,19.2822,75.182,4,Ahmedabad
IN,584128,Amarapur,Karnataka,19,Raichur,559,Sindhanur,16.3788,76.8356,4,Raichur
IN,415305,Amarapur,Maharashtra,16,Sangli,531,Kadegaon,17.112,74.7699,4,Sangli
IN,515281,Amarapuram,Andhra Pradesh,2,Anantapur,553,Amarapuram,14.1301,76.9776,4,Ananthapur
IN,614805,Amarasimhendrapuram,Tamil Nadu,25,Pudukkottai,621,Arantangi,10.5789,79.3245,1,Pudukkottai
IN,533448,Amaravalli,Andhra Pradesh,2,East Godavari,545,Kothapalli,17.6974,82.93,3,East Godavari
IN,508204,Amaravaram,Telangana,40,Nalgonda,539,Huzurnagar,16.8339,79.8156,4,Nalgonda
IN,534444,Amaravaram,Andhra Pradesh,2,West Godavari,546,Kukunoor,16.8663,81.3395,3,West Godavari
IN,583211,Amaravathi,Karnataka,19,Ballari,565,Hospet,15.1096,76.5334,4,Ballari
IN,577601,Amaravathi,Karnataka,19,Davanagere,567,Harihar,14.408,75.9548,3,Davangere
IN,522020,Amaravathi,Andhra Pradesh,2,Guntur,548,Guntur,16.2176,80.345,1,Guntur
IN,642102,Amaravathi Nagar,Tamil Nadu,25,Coimbatore,632,Udamalpet,10.4348,77.2914,3,Coimbatore
IN,522007,Amaravathi Road(Guntur),Andhra Pradesh,2,Guntur,548,Guntur,16.2176,80.345,1,Guntur
IN,630301,Amaravathipudur,Tamil Nadu,25,Sivaganga,622,Devakottai,10.1639,78.5877,1,Sivaganga
